,Unnamed: 0.1,Unnamed: 0,id_dodf,tipo_rel,id_rel,anotador_rel,tipo_ent,id_ent,anotador_ent,offset,length,texto,id_ato
0,43,43,12_22.11.2018,REL_SUSPENSAO_LICITACAO,R8,anotador_430946,AVISO_SUSPENSAO_LICITACAO,312,anotador_430946,484129,274,"AVISO DE SUSPENSAO PREGAO ELETRONICO POR SRP No 459/2018 - UASG 926119 A Pregoeira da Central de Compras/SUAG, da Secretaria de Estado de Saude do Distrito Federal, comunica a suspensao da licitacao supracitada, por acatar a impugnacao apresentada. LARISSA ALVIM DE OLIVEIRA",12_22.11.2018-R8
1,44,44,12_22.11.2018,REL_SUSPENSAO_LICITACAO,R8,anotador_430946,modalidade_licitacao,311,anotador_430946,484148,17,PREGAO ELETRONICO,12_22.11.2018-R8
2,45,45,12_22.11.2018,REL_SUSPENSAO_LICITACAO,R8,anotador_430946,numero_licitacao,308,anotador_430946,484177,8,459/2018,12_22.11.2018-R8
3,46,46,12_22.11.2018,REL_SUSPENSAO_LICITACAO,R8,anotador_430946,orgao_licitante,310,anotador_430946,484243,49,Secretaria de Estado de Saude do Distrito Federal,12_22.11.2018-R8
4,47,47,12_22.11.2018,REL_SUSPENSAO_LICITACAO,R8,anotador_430946,nome_responsavel,309,anotador_430946,484378,25,LARISSA ALVIM DE OLIVEIRA,12_22.11.2018-R8
5,82,82,12_22.11.2018,REL_SUSPENSAO_LICITACAO,R9,anotador_430946,modalidade_licitacao,313,anotador_430946,530038,12,CONCORRENCIA,12_22.11.2018-R9
6,83,83,12_22.11.2018,REL_SUSPENSAO_LICITACAO,R9,anotador_430946,numero_licitacao,314,anotador_430946,530054,7,02/2018,12_22.11.2018-R9
7,84,84,12_22.11.2018,REL_SUSPENSAO_LICITACAO,R9,anotador_430946,orgao_licitante,444,anotador_430946,530064,8,METRO-DF,12_22.11.2018-R9
8,85,85,12_22.11.2018,REL_SUSPENSAO_LICITACAO,R9,anotador_430946,objeto_licitacao,317,anotador_430946,530206,107,contratacao de empresa para execucao de Obras Civis para Expansao da Linha 1 - Trecho Samambaia do METRO-DF,12_22.11.2018-R9
9,86,86,12_22.11.2018,REL_SUSPENSAO_LICITACAO,R9,anotador_430946,processo_gdf,315,anotador_430946,530337,23,00097-00004868/2018- 01,12_22.11.2018-R9
10,87,87,12_22.11.2018,REL_SUSPENSAO_LICITACAO,R9,anotador_430946,decisao_tcdf,319,anotador_430946,530463,9,5531/2018,12_22.11.2018-R9
11,88,88,12_22.11.2018,REL_SUSPENSAO_LICITACAO,R9,anotador_430946,nome_responsavel,316,anotador_430946,530481,25,ANDERSON LUIZ SENNA COSTA,12_22.11.2018-R9
12,89,89,12_22.11.2018,REL_SUSPENSAO_LICITACAO,R9,anotador_430946,modalidade_licitacao,468,anotador_430946,530165,12,Concorrencia,12_22.11.2018-R9
