tipo,texto,NomeServidor,CargoEfetivo,Matricula,MatriculaSiape,Simbolo,Cargo,Hierarquia_da_Lotacao,Orgao,outro
NomeacaoComissionado,"NOMEAR RICARDO TERENZI CARDOSO para exercer o Cargo de Natureza Especial, Símbolo CNE02, de Subsecretário, da Subsecretaria de Acompanhamento e Fiscalização, da Secretaria de Estado de
Obras e Infraestrutura do Distrito Federal.",RICARDO TERENZI CARDOSO,None,None,None,CNE02,Subsecretário,Subsecretaria de Acompanhamento e Fiscalização,"da Secretaria de Estado de
Obras e Infraestrutura do Distrito Federal"
NomeacaoComissionado,"NOMEAR LEONARDO RODRIGUES FACÓ para exercer o Cargo de Natureza Especial, Símbolo CNE05, de Chefe, da Assessoria Especial, da Subsecretaria de Acompanhamento e Fiscalização, da Secretaria
de Estado de Obras e Infraestrutura do Distrito Federal.",LEONARDO RODRIGUES FACÓ,None,None,None,CNE05,Chefe,"Assessoria Especial, da Subsecretaria de Acompanhamento e Fiscalização","da Secretaria
de Estado de Obras e Infraestrutura do Distrito Federal"
NomeacaoComissionado,"NOMEAR CARLOS MAGNO RODRIGUES BARROS para exercer o Cargo de Natureza Especial,
Símbolo CNE-06, de Assessor Especial, da Assessoria Especial, da Subsecretaria de Acompanhamento e
Fiscalização, da Secretaria de Estado de Obras e Infraestrutura do Distrito Federal.",CARLOS MAGNO RODRIGUES BARROS,None,None,None,CNE-06,Assessor Especial,"Assessoria Especial, da Subsecretaria de Acompanhamento e
Fiscalização",Secretaria de Estado de Obras e Infraestrutura do Distrito Federal
NomeacaoComissionado,"NOMEAR ARYADNE BEZERRA PORCIUNCULA, Assessora Especial, Símbolo CNE-05, da
Assessoria Jurídico-Legislativa, para responder, interinamente e sem acumular vencimentos, pelo Cargo de
Natureza Especial, Símbolo CNE-03, de Chefe, da Assessoria Jurídico-Legislativa, da Secretaria de
Estado de Obras e Infraestrutura do Distrito Federal.",ARYADNE BEZERRA PORCIUNCULA,None,None,None,CNE-03,Chefe,Assessoria Jurídico-Legislativa,"Secretaria de
Estado de Obras e Infraestrutura do Distrito Federal"
NomeacaoComissionado,"NOMEAR AMANDA CRISTINA MARQUES MONTEIRO para exercer o Cargo de Natureza Especial,
Símbolo CNE-04, de Chefe de Gabinete, da Junta Comercial, Industrial e Serviços do Distrito Federal.",AMANDA CRISTINA MARQUES MONTEIRO,None,None,None,CNE-04,Chefe de Gabinete,None,"Junta Comercial, Industrial e Serviços do Distrito Federal"
NomeacaoComissionado,"NOMEAR FLAVIA TAIANE DE JESUS SILVA para exercer o Cargo de Natureza Especial, Símbolo
CNE-05, de Gerente, da Junta Comercial, Industrial e Serviços do Distrito Federal.",FLAVIA TAIANE DE JESUS SILVA,None,None,None,CNE-05,Gerente,None,"Junta Comercial, Industrial e Serviços do Distrito Federal"
NomeacaoComissionado,"NOMEAR JULIANA DATO FERREIRA LEAL para exercer o Cargo de Natureza Especial, Símbolo
CNE-06, de Assessor Especial, da Junta Comercial, Industrial e Serviços do Distrito Federal.",JULIANA DATO FERREIRA LEAL,None,None,None,CNE-06,Assessor Especial,None,"Junta Comercial, Industrial e Serviços do Distrito Federal"
NomeacaoComissionado,"NOMEAR JULIANA DOS SANTOS MORAIS para exercer o Cargo de Natureza Especial, Símbolo
CNE-07, de Coordenador de Unidade, da Junta Comercial, Industrial e Serviços do Distrito Federal.",JULIANA DOS SANTOS MORAIS,None,None,None,CNE-07,Coordenador de Unidade,None,"Junta Comercial, Industrial e Serviços do Distrito Federal"
NomeacaoComissionado,"NOMEAR CLAUDIO JOSÉ TRINCHÃO SANTOS para exercer o Cargo de Natureza Especial, Símbolo
CNE-02, de Secretário Geral, da Secretaria Geral, do Instituto do Meio Ambiente e dos Recursos Hídricos
do Distrito Federal - BRASÍLIA AMBIENTAL.",CLAUDIO JOSÉ TRINCHÃO SANTOS,None,None,None,CNE-02,Secretário Geral,Secretaria Geral,"Instituto do Meio Ambiente e dos Recursos Hídricos
do Distrito Federal - BRASÍLIA AMBIENTAL"
NomeacaoComissionado,"NOMEAR VANESSA NOGUEIRA DA SILVA LESSA para exercer o Cargo em Comissão, Símbolo
DFA-11, de Assessor, do Gabinete, da Administração Regional da Candangolândia do Distrito Federal.",VANESSA NOGUEIRA DA SILVA LESSA,None,None,None,DFA-11,Assessor,Gabinete,Administração Regional da Candangolândia do Distrito Federal
NomeacaoComissionado,"NOMEAR FELIPE VITOR RAMOS DIAS para exercer o Cargo em Comissão, Símbolo DFA-11, de
Assessor, do Gabinete, da Administração Regional do Gama do Distrito Federal.",FELIPE VITOR RAMOS DIAS,None,None,None,DFA-11,Assessor,Gabinete,Administração Regional do Gama do Distrito Federal
